2026-05-01 23:04:31 | INFO | lever | 🔄 Загрузка спецификаций Phemex...
2026-05-01 23:04:31 | INFO | lever | 📡 Получение текущих настроек аккаунта...
2026-05-01 23:06:48 | INFO | lever | 🔄 Загрузка спецификаций Phemex...
2026-05-01 23:06:48 | INFO | lever | 📡 Получение текущих настроек аккаунта...
2026-05-01 23:07:30 | INFO | lever | 🔄 Загрузка спецификаций Phemex...
2026-05-01 23:07:30 | INFO | lever | 📡 Получение текущих настроек аккаунта...
2026-05-01 23:07:34 | DEBUG | lever | [BTCUSDT] Skip margin mode update: Private API request failed: Phemex Error [10500]: API Signature verification failed.
2026-05-01 23:07:34 | ERROR | lever | [BTCUSDT] Ошибка настройки: private api request failed: phemex error [10500]: api signature verification failed.
2026-05-01 23:07:35 | DEBUG | lever | [ETHUSDT] Skip margin mode update: Private API request failed: Phemex Error [10500]: API Signature verification failed.
2026-05-01 23:07:35 | ERROR | lever | [ETHUSDT] Ошибка настройки: private api request failed: phemex error [10500]: api signature verification failed.
2026-05-01 23:07:36 | DEBUG | lever | [XRPUSDT] Skip margin mode update: Private API request failed: Phemex Error [10500]: API Signature verification failed.
2026-05-01 23:07:36 | ERROR | lever | [XRPUSDT] Ошибка настройки: private api request failed: phemex error [10500]: api signature verification failed.
2026-05-01 23:07:36 | DEBUG | lever | [ADAUSDT] Skip margin mode update: Private API request failed: Phemex Error [10500]: API Signature verification failed.
2026-05-01 23:07:36 | ERROR | lever | [ADAUSDT] Ошибка настройки: private api request failed: phemex error [10500]: api signature verification failed.
2026-05-01 23:07:37 | DEBUG | lever | [SOLUSDT] Skip margin mode update: Private API request failed: Phemex Error [10500]: API Signature verification failed.
2026-05-01 23:07:37 | ERROR | lever | [SOLUSDT] Ошибка настройки: private api request failed: phemex error [10500]: api signature verification failed.
2026-05-01 23:07:38 | DEBUG | lever | [UNIUSDT] Skip margin mode update: Private API request failed: Phemex Error [10500]: API Signature verification failed.
2026-05-01 23:07:38 | ERROR | lever | [UNIUSDT] Ошибка настройки: private api request failed: phemex error [10500]: api signature verification failed.
2026-05-01 23:07:38 | DEBUG | lever | [DOTUSDT] Skip margin mode update: Private API request failed: Phemex Error [10500]: API Signature verification failed.
2026-05-01 23:07:39 | ERROR | lever | [DOTUSDT] Ошибка настройки: private api request failed: phemex error [10500]: api signature verification failed.
2026-05-01 23:07:39 | DEBUG | lever | [LINKUSDT] Skip margin mode update: Private API request failed: Phemex Error [10500]: API Signature verification failed.
2026-05-01 23:07:39 | ERROR | lever | [LINKUSDT] Ошибка настройки: private api request failed: phemex error [10500]: api signature verification failed.
2026-05-01 23:07:40 | DEBUG | lever | [ATOMUSDT] Skip margin mode update: Private API request failed: Phemex Error [10500]: API Signature verification failed.
2026-05-01 23:10:03 | INFO | lever | 🔄 Загрузка спецификаций Phemex...
2026-05-01 23:10:03 | INFO | lever | 📡 Получение текущих настроек аккаунта...
2026-05-01 23:10:05 | DEBUG | lever | [BTCUSDT] Skip margin mode update: Private API request failed: HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-01 23:10:05 | WARNING | lever | [BTCUSDT] Плечо 10x отклонено. Фолбэк на 100.0x...
2026-05-01 23:10:05 | ERROR | lever | [BTCUSDT] Ошибка Fallback: Private API request failed: Phemex Error [39108]: invalid leverages
2026-05-01 23:10:06 | DEBUG | lever | [ETHUSDT] Skip margin mode update: Private API request failed: HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-01 23:10:06 | WARNING | lever | [ETHUSDT] Плечо 10x отклонено. Фолбэк на 100.0x...
2026-05-01 23:10:06 | ERROR | lever | [ETHUSDT] Ошибка Fallback: Private API request failed: Phemex Error [39108]: invalid leverages
