2026-05-02 15:20:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BSBUSDT: 2.022% | XNYUSDT: 1.827% | COLLECTUSDT: 0.877% | LABUSDT: 0.833% | AIGENSYNUSDT: 0.743% | BLESSUSDT: 0.741% | JCTUSDT: 0.707% | BTRUSDT: 0.603% | AIOUSDT: 0.591% | SPKUSDT: 0.551%
2026-05-02 15:21:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: JCTUSDT: 1.369% | SPKUSDT: 0.918% | BSBUSDT: 0.915% | NAORISUSDT: 0.846% | BBUSDT: 0.736% | AXLUSDT: 0.715% | SPACEUSDT: 0.687% | KNCUSDT: 0.673% | BTRUSDT: 0.639% | BIOUSDT: 0.619%
2026-05-02 15:22:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BEATUSDT: 1.215% | BIOUSDT: 0.940% | JCTUSDT: 0.883% | BTRUSDT: 0.872% | SPKUSDT: 0.839% | LABUSDT: 0.725% | BUSDT: 0.718% | SPACEUSDT: 0.640% | AKTUSDT: 0.617% | ZBTUSDT: 0.607%
2026-05-02 15:23:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BIOUSDT: 0.940% | AKTUSDT: 0.824% | BUSDT: 0.801% | JCTUSDT: 0.797% | NAORISUSDT: 0.738% | LABUSDT: 0.730% | ORDIUSDT: 0.715% | BBUSDT: 0.710% | GWEIUSDT: 0.688% | APRUSDT: 0.664%
2026-05-02 15:24:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: TRIAUSDT: 1.199% | JCTUSDT: 1.100% | GOATUSDT: 1.063% | BLESSUSDT: 0.867% | QUSDT: 0.804% | ORDIUSDT: 0.769% | GWEIUSDT: 0.735% | BSBUSDT: 0.707% | LABUSDT: 0.701% | BUSDT: 0.670%
2026-05-02 15:25:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: XPINUSDT: 1.642% | JCTUSDT: 1.488% | ORDIUSDT: 1.250% | LABUSDT: 1.012% | BSBUSDT: 0.826% | BLESSUSDT: 0.795% | TRIAUSDT: 0.675% | BUSDT: 0.672% | COLLECTUSDT: 0.644% | BTRUSDT: 0.634%
2026-05-02 15:26:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: ORDIUSDT: 1.340% | JCTUSDT: 1.008% | METISUSDT: 0.949% | BSBUSDT: 0.908% | ATUSDT: 0.768% | ZEREBROUSDT: 0.766% | BUSDT: 0.746% | LABUSDT: 0.745% | EDUUSDT: 0.745% | XNYUSDT: 0.708%
2026-05-02 15:27:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: LABUSDT: 3.774% | ORDIUSDT: 1.005% | XPLUSDT: 0.991% | GMXUSDT: 0.972% | JCTUSDT: 0.913% | METISUSDT: 0.747% | PTBUSDT: 0.746% | SHELLUSDT: 0.726% | AXLUSDT: 0.707% | PNUTUSDT: 0.684%
2026-05-02 15:28:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BSBUSDT: 2.262% | AVAAIUSDT: 1.908% | LABUSDT: 1.170% | BTRUSDT: 1.142% | TRIAUSDT: 1.054% | BUSDT: 0.879% | JCTUSDT: 0.830% | AXLUSDT: 0.748% | FLUXUSDT: 0.748% | XPINUSDT: 0.741%
2026-05-02 15:29:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BSBUSDT: 1.769% | BTRUSDT: 1.545% | ORDIUSDT: 1.218% | FLUXUSDT: 1.039% | TRIAUSDT: 0.980% | AIAUSDT: 0.942% | BIOUSDT: 0.930% | LABUSDT: 0.919% | BUSDT: 0.879% | SWARMSUSDT: 0.838%
2026-05-02 15:30:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: JCTUSDT: 1.229% | BTRUSDT: 1.066% | USUSDT: 0.922% | XPINUSDT: 0.912% | BSBUSDT: 0.864% | BUSDT: 0.804% | MERLUSDT: 0.761% | LABUSDT: 0.712% | BBUSDT: 0.634% | ORDIUSDT: 0.632%
2026-05-02 15:31:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: LABUSDT: 2.958% | JCTUSDT: 1.390% | BSBUSDT: 1.213% | ORCAUSDT: 1.174% | NAORISUSDT: 1.066% | BUSDT: 0.962% | FLUXUSDT: 0.940% | ORDIUSDT: 0.913% | 4USDT: 0.816% | BTRUSDT: 0.700%
2026-05-02 15:32:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: LABUSDT: 1.416% | BSBUSDT: 1.277% | NAORISUSDT: 1.008% | BEATUSDT: 0.793% | PHAUSDT: 0.788% | JCTUSDT: 0.739% | ORDIUSDT: 0.732% | BLESSUSDT: 0.686% | CLOUSDT: 0.678% | BUSDT: 0.615%
2026-05-02 15:33:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: LABUSDT: 1.184% | SPACEUSDT: 1.018% | BEATUSDT: 0.999% | BSBUSDT: 0.954% | BIOUSDT: 0.900% | JCTUSDT: 0.817% | POWERUSDT: 0.746% | ORCAUSDT: 0.731% | BLESSUSDT: 0.698% | COLLECTUSDT: 0.675%
2026-05-02 15:34:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BSBUSDT: 1.724% | KNCUSDT: 1.430% | LABUSDT: 1.200% | COLLECTUSDT: 0.997% | ORCAUSDT: 0.782% | JELLYJELLYUSDT: 0.780% | XPINUSDT: 0.750% | BANANAUSDT: 0.676% | JCTUSDT: 0.675% | APEUSDT: 0.670%
2026-05-02 15:35:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: KNCUSDT: 3.918% | ORDIUSDT: 1.542% | BSBUSDT: 1.517% | LABUSDT: 1.310% | METISUSDT: 0.856% | ZBTUSDT: 0.759% | BUSDT: 0.737% | SPACEUSDT: 0.677% | BANANAUSDT: 0.676% | JCTUSDT: 0.675%
2026-05-02 15:36:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: KNCUSDT: 3.918% | ORDIUSDT: 2.779% | AVAAIUSDT: 1.988% | LABUSDT: 1.519% | BIOUSDT: 1.325% | BSBUSDT: 1.229% | KAVAUSDT: 0.982% | TRIAUSDT: 0.836% | BLESSUSDT: 0.836% | ZBTUSDT: 0.796%
2026-05-02 15:37:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: GOATUSDT: 1.900% | KNCUSDT: 1.790% | BTRUSDT: 1.343% | FLUXUSDT: 1.133% | LABUSDT: 1.045% | TRIAUSDT: 1.043% | CHILLGUYUSDT: 1.028% | BLESSUSDT: 0.902% | SNXUSDT: 0.890% | KAVAUSDT: 0.817%
2026-05-02 15:38:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: GOATUSDT: 1.627% | KNCUSDT: 1.557% | SPORTFUNUSDT: 1.453% | BTRUSDT: 1.410% | ORCAUSDT: 1.364% | LABUSDT: 1.027% | TRIAUSDT: 0.955% | APEUSDT: 0.952% | ORDIUSDT: 0.879% | JCTUSDT: 0.807%
2026-05-02 15:39:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BTRUSDT: 1.574% | TACUSDT: 1.157% | AIGENSYNUSDT: 1.132% | TRIAUSDT: 0.930% | APEUSDT: 0.896% | KNCUSDT: 0.826% | TAKEUSDT: 0.757% | LABUSDT: 0.716% | FLUXUSDT: 0.715% | COLLECTUSDT: 0.678%
2026-05-02 15:40:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BTRUSDT: 1.509% | AKTUSDT: 1.475% | KAVAUSDT: 1.447% | BSBUSDT: 1.299% | JCTUSDT: 0.884% | TRIAUSDT: 0.754% | BUSDT: 0.710% | SHELLUSDT: 0.669% | KNCUSDT: 0.652% | BANANAUSDT: 0.626%
2026-05-02 15:41:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: KNCUSDT: 1.789% | BTRUSDT: 1.607% | KAVAUSDT: 1.286% | XPINUSDT: 1.277% | USUSDT: 1.157% | JCTUSDT: 0.877% | PNUTUSDT: 0.857% | SPACEUSDT: 0.853% | BSBUSDT: 0.762% | XNYUSDT: 0.733%
2026-05-02 15:42:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: KNCUSDT: 1.621% | BTRUSDT: 1.574% | LABUSDT: 1.381% | BUSDT: 1.130% | JCTUSDT: 1.084% | PNUTUSDT: 1.025% | ZEREBROUSDT: 0.899% | ORDIUSDT: 0.898% | APEUSDT: 0.749% | BSBUSDT: 0.730%
2026-05-02 15:43:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: KNCUSDT: 2.704% | BSBUSDT: 1.899% | LABUSDT: 1.381% | ZEREBROUSDT: 0.989% | TRUTHUSDT: 0.988% | TACUSDT: 0.884% | JCTUSDT: 0.850% | USTCUSDT: 0.664% | GUAUSDT: 0.643% | APEUSDT: 0.634%
2026-05-02 15:44:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: KNCUSDT: 1.391% | LABUSDT: 1.186% | BSBUSDT: 1.106% | ZEREBROUSDT: 1.061% | BIOUSDT: 0.958% | AIXBTUSDT: 0.902% | FLUXUSDT: 0.849% | METISUSDT: 0.794% | TACUSDT: 0.792% | SPKUSDT: 0.745%
2026-05-02 15:45:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: LABUSDT: 1.526% | KNCUSDT: 1.030% | AIXBTUSDT: 0.902% | TAKEUSDT: 0.772% | GWEIUSDT: 0.766% | JCTUSDT: 0.741% | ESPORTSUSDT: 0.689% | ORDIUSDT: 0.671% | XNYUSDT: 0.664% | COLLECTUSDT: 0.609%
2026-05-02 15:46:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: KNCUSDT: 1.216% | LABUSDT: 1.068% | TAKEUSDT: 0.855% | SPACEUSDT: 0.807% | JCTUSDT: 0.796% | USTCUSDT: 0.744% | KAVAUSDT: 0.645% | XPINUSDT: 0.585% | TSTUSDT: 0.583% | FLUXUSDT: 0.582%
2026-05-02 15:47:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: AIXBTUSDT: 1.378% | UAIUSDT: 1.374% | BUSDT: 1.212% | TACUSDT: 1.193% | BTRUSDT: 1.042% | ORDIUSDT: 0.838% | LABUSDT: 0.822% | JCTUSDT: 0.765% | USUSDT: 0.753% | MERLUSDT: 0.700%
2026-05-02 15:48:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BTRUSDT: 1.142% | COLLECTUSDT: 0.955% | ORDIUSDT: 0.873% | KNCUSDT: 0.792% | ZEREBROUSDT: 0.759% | SNXUSDT: 0.734% | LABUSDT: 0.715% | JCTUSDT: 0.712% | BUSDT: 0.653% | KAVAUSDT: 0.647%
2026-05-02 15:49:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BEATUSDT: 2.946% | COLLECTUSDT: 1.393% | KNCUSDT: 1.099% | BTRUSDT: 0.794% | JCTUSDT: 0.787% | SHELLUSDT: 0.779% | BLESSUSDT: 0.742% | BASUSDT: 0.742% | LABUSDT: 0.705% | BIOUSDT: 0.699%
2026-05-02 15:50:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: COLLECTUSDT: 1.864% | BEATUSDT: 1.420% | PUNDIXUSDT: 1.172% | BTRUSDT: 0.996% | LABUSDT: 0.878% | BIOUSDT: 0.863% | ORDIUSDT: 0.691% | BSBUSDT: 0.679% | JCTUSDT: 0.604% | OPENUSDT: 0.589%
